WKT,ASIGNACION,SUP_KM2,IDENTIFICA,POLIGONO,UBICACION,ACTIVIDAD,DESCUBRIM,layer,path
"MULTIPOLYGON (((-97.3833333329999 20.658333333,-97.3833333329999 20.65,-97.375 20.65,-97.375 20.6416666670001,-97.375 20.6333333330001,-97.375 20.625,-97.3833333329999 20.625,-97.391666667 20.625,-97.4 20.625,-97.4 20.6333333330001,-97.408333333 20.6333333330001,-97.408333333 20.6416666670001,-97.416666667 20.6416666670001,-97.416666667 20.65,-97.416666667 20.658333333,-97.408333333 20.658333333,-97.4 20.658333333,-97.391666667 20.658333333,-97.3833333329999 20.658333333)))",A-0002-2M - CAMPO ACUATEMPA,12.7128671211,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-92.85 17.8,-92.85 17.7916666670001,-92.841666667 17.7916666670001,-92.841666667 17.783333333,-92.841666667 17.775,-92.841666667 17.766666667,-92.85 17.766666667,-92.85 17.758333333,-92.841666667 17.758333333,-92.833333333 17.758333333,-92.833333333 17.75,-92.833333333 17.7416666670001,-92.825 17.7416666670001,-92.816666667 17.7416666670001,-92.816666667 17.7333333330001,-92.816666667 17.725,-92.808333333 17.725,-92.808333333 17.716666667,-92.808333333 17.708333333,-92.808333333 17.7,-92.816666667 17.7,-92.816666667 17.691666667,-92.816666667 17.6833333330001,-92.825 17.6833333330001,-92.825 17.675,-92.816666667 17.675,-92.816666667 17.6666666670001,-92.816666667 17.6583333330001,-92.825 17.6583333330001,-92.833333333 17.6583333330001,-92.841666667 17.6583333330001,-92.85 17.6583333330001,-92.8583333329999 17.6583333330001,-92.8666666669999 17.6583333330001,-92.875 17.6583333330001,-92.883333333 17.6583333330001,-92.891666667 17.6583333330001,-92.9 17.6583333330001,-92.908333333 17.6583333330001,-92.916666667 17.6583333330001,-92.925 17.6583333330001,-92.925 17.6666666670001,-92.925 17.675,-92.9333333329999 17.675,-92.9333333329999 17.6833333330001,-92.9416666669999 17.6833333330001,-92.9416666669999 17.691666667,-92.95 17.691666667,-92.95 17.7,-92.958333333 17.7,-92.958333333 17.708333333,-92.958333333 17.716666667,-92.958333333 17.725,-92.958333333 17.7333333330001,-92.958333333 17.7416666670001,-92.958333333 17.75,-92.958333333 17.758333333,-92.958333333 17.766666667,-92.958333333 17.775,-92.958333333 17.783333333,-92.958333333 17.7916666670001,-92.958333333 17.8,-92.95 17.8,-92.9416666669999 17.8,-92.9333333329999 17.8,-92.925 17.8,-92.916666667 17.8,-92.908333333 17.8,-92.9 17.8,-92.891666667 17.8,-92.883333333 17.8,-92.875 17.8,-92.8666666669999 17.8,-92.8583333329999 17.8,-92.85 17.8)))",A-0003-2M - CAMPO AGAVE,208.526750186,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-97.575 21.3833333330001,-97.575 21.375,-97.5666666669999 21.375,-97.5666666669999 21.3666666670001,-97.5666666669999 21.3583333330001,-97.5666666669999 21.35,-97.5666666669999 21.341666667,-97.558333333 21.341666667,-97.558333333 21.333333333,-97.558333333 21.325,-97.5666666669999 21.325,-97.5666666669999 21.316666667,-97.575 21.316666667,-97.575 21.3083333330001,-97.583333333 21.3083333330001,-97.5916666669999 21.3083333330001,-97.5916666669999 21.316666667,-97.6 21.316666667,-97.6 21.325,-97.6 21.333333333,-97.6 21.341666667,-97.6 21.35,-97.6 21.3583333330001,-97.6 21.3666666670001,-97.6 21.375,-97.6083333329999 21.375,-97.6083333329999 21.3833333330001,-97.6083333329999 21.391666667,-97.6 21.391666667,-97.6 21.4,-97.5916666669999 21.4,-97.583333333 21.4,-97.575 21.4,-97.575 21.391666667,-97.575 21.3833333330001)))",A-0006-2M - CAMPO AGUACATE,33.9701728165,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-97.841666667 20.925,-97.841666667 20.9166666670001,-97.833333333 20.9166666670001,-97.833333333 20.908333333,-97.841666667 20.908333333,-97.85 20.908333333,-97.858333333 20.908333333,-97.858333333 20.9,-97.8666666669999 20.9,-97.8666666669999 20.891666667,-97.8666666669999 20.883333333,-97.8666666669999 20.875,-97.8666666669999 20.8666666670001,-97.8666666669999 20.8583333330001,-97.875 20.8583333330001,-97.875 20.8666666670001,-97.875 20.875,-97.875 20.883333333,-97.875 20.891666667,-97.875 20.9,-97.875 20.908333333,-97.875 20.9166666670001,-97.875 20.925,-97.875 20.9333333330001,-97.8666666669999 20.9333333330001,-97.858333333 20.9333333330001,-97.85 20.9333333330001,-97.841666667 20.9333333330001,-97.841666667 20.925)))",A-0007-2M - CAMPO AHUATEPEC,15.8568099146,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-92.0666666669999 19.4916666670001,-92.0666666669999 19.4833333330001,-92.0583333329999 19.4833333330001,-92.05 19.4833333330001,-92.041666667 19.4833333330001,-92.041666667 19.475,-92.033333333 19.475,-92.025 19.475,-92.025 19.4666666670001,-92.016666667 19.4666666670001,-92.016666667 19.458333333,-92.016666667 19.45,-92.008333333 19.45,-92.008333333 19.441666667,-92.008333333 19.4333333330001,-92 19.4333333330001,-92 19.425,-91.9916666669999 19.425,-91.9916666669999 19.4166666670001,-91.9916666669999 19.4083333330001,-91.9916666669999 19.4,-92 19.4,-92 19.3916666670001,-92 19.383333333,-92 19.375,-92.008333333 19.375,-92.008333333 19.366666667,-92.016666667 19.366666667,-92.016666667 19.3583333330001,-92.008333333 19.3583333330001,-92.008333333 19.35,-92.008333333 19.341666667,-92 19.341666667,-92 19.3333333330001,-91.9916666669999 19.3333333330001,-91.9916666669999 19.325,-91.9916666669999 19.316666667,-91.9833333329999 19.316666667,-91.9833333329999 19.308333333,-91.9916666669999 19.308333333,-92 19.308333333,-92 19.316666667,-92.008333333 19.316666667,-92.016666667 19.316666667,-92.016666667 19.308333333,-92.025 19.308333333,-92.033333333 19.308333333,-92.041666667 19.308333333,-92.05 19.308333333,-92.0583333329999 19.308333333,-92.0583333329999 19.316666667,-92.0666666669999 19.316666667,-92.0666666669999 19.325,-92.075 19.325,-92.075 19.3333333330001,-92.083333333 19.3333333330001,-92.083333333 19.325,-92.091666667 19.325,-92.1 19.325,-92.1 19.3333333330001,-92.1 19.341666667,-92.1 19.35,-92.1 19.3583333330001,-92.1 19.366666667,-92.1 19.375,-92.1 19.383333333,-92.1 19.3916666670001,-92.1 19.4,-92.1 19.4083333330001,-92.1 19.4166666670001,-92.1 19.425,-92.1 19.4333333330001,-92.1 19.441666667,-92.1 19.45,-92.108333333 19.45,-92.108333333 19.458333333,-92.108333333 19.4666666670001,-92.1166666669999 19.4666666670001,-92.1166666669999 19.475,-92.1166666669999 19.4833333330001,-92.108333333 19.4833333330001,-92.108333333 19.4916666670001,-92.1 19.4916666670001,-92.091666667 19.4916666670001,-92.083333333 19.4916666670001,-92.075 19.4916666670001,-92.0666666669999 19.4916666670001)))",A-0008-2M - CAMPO AKAL,191.873361467,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-97.658333333 20.908333333,-97.658333333 20.9,-97.65 20.9,-97.65 20.891666667,-97.658333333 20.891666667,-97.658333333 20.883333333,-97.6666666669999 20.883333333,-97.675 20.883333333,-97.683333333 20.883333333,-97.683333333 20.891666667,-97.691666667 20.891666667,-97.691666667 20.9,-97.691666667 20.908333333,-97.691666667 20.9166666670001,-97.683333333 20.9166666670001,-97.675 20.9166666670001,-97.6666666669999 20.9166666670001,-97.658333333 20.9166666670001,-97.658333333 20.908333333)))",A-0010-M - CAMPO ALAMO SAN ISIDRO,12.6862501193,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-96.324999999 18.6666666670001,-96.324999999 18.658333333,-96.316666666 18.658333333,-96.308333333 18.658333333,-96.308333333 18.65,-96.308333333 18.641666667,-96.308333333 18.633333333,-96.308333333 18.625,-96.316666666 18.625,-96.316666666 18.6166666670001,-96.324999999 18.6166666670001,-96.333333333 18.6166666670001,-96.341666666 18.6166666670001,-96.341666666 18.625,-96.341666666 18.633333333,-96.341666666 18.641666667,-96.349999999 18.641666667,-96.349999999 18.65,-96.3583333329999 18.65,-96.3583333329999 18.658333333,-96.349999999 18.658333333,-96.349999999 18.6666666670001,-96.341666666 18.6666666670001,-96.333333333 18.6666666670001,-96.324999999 18.6666666670001)))",A-0016-2M - CAMPO ANGOSTURA,20.2009899112,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-96.1333333319999 18.7,-96.1333333319999 18.6916666670001,-96.1249999989999 18.6916666670001,-96.1249999989999 18.6833333330001,-96.116666666 18.6833333330001,-96.116666666 18.675,-96.116666666 18.6666666670001,-96.116666666 18.658333333,-96.108333332 18.658333333,-96.108333332 18.65,-96.099999999 18.65,-96.099999999 18.641666667,-96.091666666 18.641666667,-96.091666666 18.633333333,-96.091666666 18.625,-96.091666666 18.6166666670001,-96.091666666 18.6083333330001,-96.099999999 18.6083333330001,-96.108333332 18.6083333330001,-96.108333332 18.6166666670001,-96.108333332 18.625,-96.116666666 18.625,-96.1249999989999 18.625,-96.1249999989999 18.633333333,-96.1249999989999 18.641666667,-96.1249999989999 18.65,-96.1249999989999 18.658333333,-96.1333333319999 18.658333333,-96.141666666 18.658333333,-96.1499999989999 18.658333333,-96.158333332 18.658333333,-96.158333332 18.6666666670001,-96.158333332 18.675,-96.158333332 18.6833333330001,-96.158333332 18.6916666670001,-96.158333332 18.7,-96.1499999989999 18.7,-96.141666666 18.7,-96.1333333319999 18.7)))",A-0018-M - CAMPO APERTURA,31.5092834749,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-98.516666667 26.0166666670001,-98.525 26.0166666670001,-98.525 26.025,-98.525 26.033333333,-98.516666667 26.033333333,-98.5083333329999 26.033333333,-98.5083333329999 26.025,-98.5083333329999 26.0166666670001,-98.516666667 26.0166666670001)),((-98.5083333329999 26.0500000000001,-98.516666667 26.0500000000001,-98.516666667 26.058333333,-98.5083333329999 26.058333333,-98.5083333329999 26.0500000000001)))",A-0019-2M - CAMPO ARABE,3.8156735189,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
"MULTIPOLYGON (((-96.183333333 18.5916666670001,-96.183333333 18.583333333,-96.174999999 18.583333333,-96.174999999 18.575,-96.166666666 18.575,-96.166666666 18.566666667,-96.166666666 18.5583333330001,-96.158333332 18.5583333330001,-96.1499999989999 18.5583333330001,-96.1499999989999 18.55,-96.141666666 18.55,-96.1333333319999 18.55,-96.1333333319999 18.5416666670001,-96.1333333319999 18.5333333330001,-96.1333333319999 18.525,-96.141666666 18.525,-96.1499999989999 18.525,-96.1499999989999 18.5333333330001,-96.158333332 18.5333333330001,-96.158333332 18.5416666670001,-96.166666666 18.5416666670001,-96.174999999 18.5416666670001,-96.174999999 18.55,-96.174999999 18.5583333330001,-96.183333333 18.5583333330001,-96.183333333 18.566666667,-96.183333333 18.575,-96.1916666659999 18.575,-96.1999999989999 18.575,-96.1999999989999 18.583333333,-96.1999999989999 18.5916666670001,-96.1916666659999 18.5916666670001,-96.183333333 18.5916666670001)))",A-0021-M - CAMPO ARAL,17.7902086332,,,,,,R0_A,C:/Users/Pc/Documents/MAPAS CNH/POLIGONOS ASIGNACIONES/R0_A/R0_A.shp
